Gene,Ant_MF1,Ant_MF2,Ant_MF3,Ant_VF1,Ant_VF2,Ant_VF3,Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
XM_038046614.1,42072.3439,41179.3774,42360.80528,41850.46016,35521.54416,41972.54276,nan,40665.00106,-0.057048591,0.122218237,-0.466776419,0.640659848,0.942882695
XM_038046615.1,9.005981656,3.519203857,0,0,0,0,nan,2.129259331,-4.531075877,2.784312125,-1.627359173,0.103660837,0.552816387
XM_038046616.1,702.4665692,788.301664,723.8055985,682.2943494,610.1448721,681.732248,nan,695.1595099,-0.149142274,0.158503673,-0.940938915,0.346736164,0.841922177
XM_038046617.1,6504.119952,5443.035299,5255.85321,5064.191506,3531.921089,4127.003202,nan,4962.526487,-0.416781397,0.165395334,-2.51991025,0.011738476,0.171963044
XM_038046618.1,6504.119952,5443.035299,5255.85321,5064.191506,3531.921089,4127.003202,nan,4962.526487,-0.416781397,0.165395334,-2.51991025,0.011738476,0.171963044
XM_038046619.1,6504.119952,5443.035299,5255.85321,5064.191506,3531.921089,4127.003202,nan,4962.526487,-0.416781397,0.165395334,-2.51991025,0.011738476,0.171963044
XM_038046620.1,4.502990828,8.211475666,0,0,27.25733105,3.957806955,nan,7.29231736,1.268236028,1.637135428,0.774667756,0.438536009,0.882214343
XM_038046621.1,1668.808401,970.1271966,961.769083,1380.724038,1204.564361,1224.941253,nan,1229.361232,0.101874737,0.217506138,0.468376377,0.639515458,0.942882695
XM_038046622.1,307.1039745,364.8241332,425.5249809,373.4178534,219.1070073,241.4262243,nan,320.6468332,-0.382603692,0.26411626,-1.448618467,0.147444161,0.640344551
XM_038046623.1,232.3543267,326.1128907,342.0725089,305.4189233,159.3505508,171.1751508,nan,254.9007769,-0.487404321,0.305554146,-1.595148773,0.110678971,0.564275074
XM_038046624.1,97.26460189,221.709843,142.9433431,227.0472751,115.3194775,112.7974982,OR173,152.4340959,-0.006450633,0.393604031,-0.016388634,0.986924347,0.999568951
XM_038046625.1,0,0,0,0,1.048358887,0,nan,0.166105947,0.978213949,4.080472857,0.239730537,0.81053916,NA
XM_038046626.1,757.4030573,475.0925207,410.6522631,815.9871611,696.1103008,645.1225337,nan,630.7286129,0.412861178,0.23699754,1.742048371,0.081499981,0.494894396
XM_038046627.1,217.9447561,239.3058623,149.5534399,387.2481443,163.5439863,197.8903478,OR140,225.3102836,0.322860655,0.345440032,0.934635901,0.349975971,0.845046557
XM_038046628.1,2116.405689,1666.92956,1482.314205,1978.884118,1415.284497,1699.878087,OR144,1718.774428,-0.02852644,0.184656771,-0.154483584,0.877228454,0.980913484
